City_ID,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
362,pesca,CO,1558378794,5.56,-73.05,62.52,68,96,7.76
363,pevek,RU,1558378765,69.7,170.27,26.16,71,93,4.65
364,pilot butte,CA,1558378892,50.48,-104.42,59,33,40,10.29
365,pinotepa de don luis,MX,1558378888,16.43,-97.98,95.1,37,21,7.47
366,pisco,PE,1558378764,-13.71,-76.2,75.99,30,0,11.41
367,plainview,US,1558378590,34.18,-101.71,84.99,37,40,18.34
368,plattling,DE,1558378876,48.78,12.88,55.99,86,100,3.71
369,plettenberg bay,ZA,1558378886,-34.05,23.37,55.32,74,98,7.18
370,ponta do sol,BR,1558378767,-20.63,-46,73.68,57,0,5.32
371,pontes e lacerda,BR,1558378768,-15.23,-59.33,88.44,41,41,3.71
372,port alfred,ZA,1558378763,-33.59,26.89,61,69,67,8.01
373,port blair,IN,1558378774,11.67,92.75,85.2,71,99,7.18
374,port elizabeth,US,1558378762,39.31,-74.98,93,46,20,12.75
375,port hardy,CA,1558378564,50.7,-127.42,53.6,87,90,5.82
376,port hedland,AU,1558378791,-20.31,118.58,62.6,51,0,6.93
377,port lincoln,AU,1558378826,-34.72,135.86,63.6,76,100,15.48
378,port shepstone,ZA,1558378854,-30.74,30.45,69.54,47,2,5.32
379,port-gentil,GA,1558378833,-0.72,8.78,80.6,88,20,11.41
380,porto novo,BR,1558378783,-23.68,-45.44,77,53,20,4.7
381,poum,MK,1558378885,41.28,20.71,53.6,71,75,5.82
382,prainha,BR,1558378652,-1.8,-53.48,86.1,69,100,4.14
383,provideniya,RU,1558378816,64.42,-173.23,33.72,72,5,5.23
384,puerto ayora,EC,1558378762,-0.74,-90.35,79,86,26,5.99
385,puerto escondido,MX,1558378824,15.86,-97.07,86,66,5,9.17
386,punta arenas,CL,1558378759,-53.16,-70.91,50,61,40,46.08
387,pushkinskiye gory,RU,1558378756,57.02,28.91,65.04,70,6,6.93
388,qaanaaq,GL,1558378755,77.48,-69.36,22.2,73,25,2.37
